Nombre,Edad,Altura,Peso,Nacionalidad,General,Potencia,Club,Valor_euro,Pie_habil,Ritmo,Disparo,Total_pases,Regate,Defensa,Fisico,Finalización,Precision_cabeza,Volea,Control_balon,Aceleracion,Sprint,Agilidad,Reaccion,Balance,Potencia_disparo,Salto,Resistencia,Fuerza,Tiros_largos,Agrecion,Intercepciones,Posicionamiento,Vision,Penaltis
0,L. Messi,35,169,67,Argentina,91,91,Paris Saint-Germain,54000000,Left,81,89,90,94,34,64,90,70,88,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75
1,K. Benzema,34,185,81,France,91,91,Real Madrid CF,64000000,Right,80,88,83,87,39,78,92,90,88,91,79,80,78,92,72,87,79,82,82,80,63,39,92,89,84
2,R. Lewandowski,33,185,81,Poland,91,91,FC Barcelona,84000000,Right,75,91,79,86,44,83,94,91,89,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90
3,K. De Bruyne,31,181,70,Belgium,91,91,Manchester City,107500000,Right,74,88,93,87,64,77,85,55,83,90,76,73,76,91,78,92,63,88,74,91,75,66,88,94,83
4,K. Mbappé,23,182,73,France,91,95,Paris Saint-Germain,190500000,Right,97,89,80,92,36,76,93,72,83,91,97,97,93,93,81,88,77,87,76,82,64,38,92,83,80
5,M. Salah,30,175,71,Egypt,90,90,Liverpool,115500000,Left,90,89,82,90,45,75,93,59,84,88,89,91,90,93,91,83,69,87,75,85,63,55,92,85,86
8,Cristiano Ronaldo,37,187,83,Portugal,90,90,Manchester United,41000000,Right,81,92,78,85,34,75,93,90,86,88,79,83,77,94,67,93,95,76,77,90,63,29,95,76,90
9,V. van Dijk,30,193,92,Netherlands,90,90,Liverpool,98000000,Right,81,60,71,72,91,86,52,87,45,76,68,91,61,89,53,81,88,74,93,64,85,90,47,65,62
10,H. Kane,28,188,89,England,89,89,Tottenham Hotspur,105500000,Right,68,91,83,82,47,82,93,85,87,84,67,69,68,92,71,92,79,83,83,86,80,44,94,87,92
11,Neymar Jr,30,175,68,Brazil,89,89,Paris Saint-Germain,99500000,Right,87,83,85,93,37,61,83,63,86,94,88,86,93,88,82,79,62,79,52,81,63,37,86,89,91
12,H. Son,29,183,78,Korea Republic,89,89,Tottenham Hotspur,101000000,Right,88,89,82,86,42,69,91,68,79,84,85,90,85,91,76,88,60,88,64,89,62,39,91,84,73
13,Casemiro,30,185,84,Brazil,89,89,Manchester United,86000000,Right,63,73,75,72,87,90,64,79,62,78,60,66,61,87,66,88,85,90,90,81,91,88,75,75,66
15,S. Mané,30,174,69,Senegal,89,89,FC Bayern München,99500000,Right,90,83,80,88,44,77,86,84,75,86,91,90,93,91,88,83,87,85,72,78,75,35,90,84,75
17,J. Kimmich,27,177,75,Germany,89,90,FC Bayern München,105500000,Right,68,72,87,84,83,79,68,72,69,85,77,60,84,88,84,78,79,94,68,83,89,84,80,85,44
19,N. Kanté,31,168,70,France,89,89,Chelsea,72000000,Right,72,66,74,81,87,82,65,54,56,81,77,68,78,93,92,71,75,95,72,65,93,91,72,77,54
20,Rúben Dias,25,187,82,Portugal,88,91,Manchester City,107500000,Right,63,39,66,68,88,88,29,87,32,74,57,67,60,89,56,74,78,83,89,26,92,85,39,51,45
21,E. Haaland,21,195,94,Norway,88,94,Manchester City,148000000,Left,89,91,65,80,49,87,94,79,88,82,82,94,76,88,72,94,74,81,93,87,85,43,89,74,76
